islower,islower
display buffer,display buffer
search,search
setupdisplay function,setupdisplay function
submitgive,submitgive
c files,c files
scroll.,scroll.
shell prompt,shell prompt
mips program,mips program
assembler program,assembler program
z,z
translation,translation
scroll.s file,scroll.s file
computer system fundamentals,computer system fundamentals
prompt,prompt
message scrolls,message scrolls
each function,each function
c.,c.
command pipelines,command pipelines
instance,instance
templates,templates
Challenge,Challenge
break directive,break directive
scrolling program,scrolling program
calls,calls
The Program,The Program
text scrolls,text scrolls
text file,text file
whole,whole
sequence numbers,sequence numbers
argument load,argument load
webcms,webcms
tokens,tokens
assembler part,assembler part
letters,letters
bash,bash
parameter,parameter
token,token
stages,stages
chdir,chdir
file chars.s,file chars.s
executions,executions
execve,execve
all_chars,all_chars
versions,versions
comp2041,comp2041
text strings,text strings
programming capability,programming capability
columns,columns
isupper todo,isupper todo
grid,grid
performance tests,performance tests
clobbers,clobbers
feel,feel
shell program,shell program
rundown,rundown
shells,shells
history.c,history.c
syntax errors,syntax errors
matches,matches
e.g. bash,e.g. bash
sequence number,sequence number
command executable,command executable
Challenges,Challenges
Exercise,Exercise
function body,function body
sight,sight
colours,colours
Submission,Submission
interface functions,interface functions
ambiguities,ambiguities
hyphens,hyphens
mymysh program,mymysh program
⎵,⎵
directory,directory
same,same
chars.s file,chars.s file
data structure,data structure
repeat,repeat
indentation,indentation
pipeline,pipeline
effects,effects
auto-testing mark,auto-testing mark
modification,modification
screen,screen
starting_pos,starting_pos
command-line argument checking,command-line argument checking
executable,executable
copy,copy
command-line argument,command-line argument
hint,hint
marks9,marks9
glob_tilde,glob_tilde
hand end,hand end
epilogues,epilogues
filename,filename
ls command,ls command
file exe.s,file exe.s
program skeleton,program skeleton
working directory,working directory
space character,space character
commands,commands
filename expansion,filename expansion
revision,revision
makefile,makefile
group,group
scroll repeat,scroll repeat
changes,changes
cmdn,cmdn
bigstring,bigstring
lw,lw
colour change,colour change
tokens list,tokens list
text computer system fundamentals,text computer system fundamentals
command-line arguments,command-line arguments
bge,bge
history list functions,history list functions
auto-testing,auto-testing
path,path
zip file,zip file
scroll,scroll
assignment 2 my very,assignment 2 my very
length,length
command name,command name
Setting Up,Setting Up
executable file,executable file
sample executable,sample executable
delay,delay
scrolling,scrolling
seqno,seqno
epilogue,epilogue
todo,todo
skeleton,skeleton
comparison,comparison
marks11,marks11
kudos,kudos
history list data,history list data
Running the program,Running the program
diagram,diagram
chars,chars
pipe,pipe
cat step,cat step
input strings,input strings
somewhere,somewhere
test cases,test cases
isupper,isupper
pathname,pathname
c statements,c statements
modules,modules
sessions,sessions
thestring,thestring
home machine,home machine
worth,worth
bug,bug
glob_nocheck,glob_nocheck
ch,ch
showdisplay function,showdisplay function
design choices,design choices
animation,animation
getcwd,getcwd
command path,command path
performance mark,performance mark
pipes,pipes
~cs1521/bin,~cs1521/bin
text string,text string
cmd1,cmd1
command history list data structures,command history list data structures
column,column
command,command
input/output redirection,input/output redirection
Background,Background
scroll.s,scroll.s
built-ins,built-ins
scroll.c,scroll.c
lines,lines
exe.s file,exe.s file
mymysh,mymysh
history substitution,history substitution
cmd2,cmd2
command history,command history
pipelines,pipelines
glob,glob
Hints,Hints
performance,performance
course mark,course mark
spaces,spaces
tute solutions,tute solutions
output,output
lot,lot
week 08 lab,week 08 lab
return status,return status
assembly code,assembly code
exemplar,exemplar
wexitstatus,wexitstatus
leds,leds
command line,command line
shops,shops
dueby,dueby
command lines,command lines
ceiling,ceiling
guide,guide
function prologues,function prologues
